timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714026977935,14557,HTTP请求,200,,updatePrice 1-1915,text,true,,224,130,8444,8444,http://127.0.0.1:9999/changePrice,14557,0,274
1714026977924,14573,HTTP请求,200,,updatePrice 1-1821,text,true,,224,130,8450,8450,http://127.0.0.1:9999/changePrice,14573,0,693
1714026978425,14072,HTTP请求,200,,updatePrice 1-1528,text,true,,224,130,8450,8450,http://127.0.0.1:9999/changePrice,14072,0,1
1714026978426,14071,HTTP请求,200,,updatePrice 1-3348,text,true,,224,130,8450,8450,http://127.0.0.1:9999/changePrice,14071,0,0
1714026978227,14270,HTTP请求,200,,updatePrice 1-2178,text,true,,224,130,8450,8450,http://127.0.0.1:9999/changePrice,14270,0,32
1714026978311,14186,HTTP请求,200,,updatePrice 1-2579,text,true,,224,130,8450,8450,http://127.0.0.1:9999/changePrice,14186,0,6
1714026977775,14722,HTTP请求,200,,updatePrice 1-1513,text,true,,224,130,8451,8451,http://127.0.0.1:9999/changePrice,14722,0,958
1714026978051,14452,HTTP请求,200,,updatePrice 1-1552,text,true,,224,130,8482,8482,http://127.0.0.1:9999/changePrice,14452,0,605
1714026978216,14293,HTTP请求,200,,updatePrice 1-2428,text,true,,224,130,8501,8501,http://127.0.0.1:9999/changePrice,14292,0,1
1714026978923,13586,HTTP请求,200,,updatePrice 1-3427,text,true,,224,130,8501,8501,http://127.0.0.1:9999/changePrice,13586,0,3
1714026978672,13933,HTTP请求,200,,updatePrice 1-2392,text,true,,224,130,8502,8502,http://127.0.0.1:9999/changePrice,13933,0,5
1714026978282,14323,HTTP请求,200,,updatePrice 1-2574,text,true,,224,130,8502,8502,http://127.0.0.1:9999/changePrice,14323,0,25
1714026977922,14683,HTTP请求,200,,updatePrice 1-1824,text,true,,224,130,8502,8502,http://127.0.0.1:9999/changePrice,14683,0,800
1714026978051,14555,HTTP请求,200,,updatePrice 1-2159,text,true,,224,130,8502,8502,http://127.0.0.1:9999/changePrice,14555,0,158
1714026978218,14388,HTTP请求,200,,updatePrice 1-2144,text,true,,224,130,8502,8502,http://127.0.0.1:9999/changePrice,14388,0,0
1714026978266,14340,HTTP请求,200,,updatePrice 1-2056,text,true,,224,130,8502,8502,http://127.0.0.1:9999/changePrice,14340,0,38
1714026977841,14767,HTTP请求,200,,updatePrice 1-1303,text,true,,224,130,8503,8503,http://127.0.0.1:9999/changePrice,14766,0,368
1714026978258,14398,HTTP请求,200,,updatePrice 1-2289,text,true,,224,130,8571,8571,http://127.0.0.1:9999/changePrice,14398,0,1
1714026977934,14725,HTTP请求,200,,updatePrice 1-1906,text,true,,224,130,8572,8572,http://127.0.0.1:9999/changePrice,14725,0,783
1714026978329,14330,HTTP请求,200,,updatePrice 1-2398,text,true,,224,130,8572,8572,http://127.0.0.1:9999/changePrice,14329,0,93
1714026978238,14422,HTTP请求,200,,updatePrice 1-2225,text,true,,224,130,8573,8573,http://127.0.0.1:9999/changePrice,14422,0,184
1714026978285,14376,HTTP请求,200,,updatePrice 1-2503,text,true,,224,130,8573,8573,http://127.0.0.1:9999/changePrice,14376,0,31
1714026977844,14817,HTTP请求,200,,updatePrice 1-1378,text,true,,224,130,8573,8573,http://127.0.0.1:9999/changePrice,14817,0,864
1714026978933,13790,HTTP请求,200,,updatePrice 1-3507,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,13790,0,18
1714026978925,13797,HTTP请求,200,,updatePrice 1-3439,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,13797,0,26
1714026978423,14299,HTTP请求,200,,updatePrice 1-16,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,14298,0,1
1714026978558,14165,HTTP请求,200,,updatePrice 1-393,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,14165,0,156
1714026978302,14421,HTTP请求,200,,updatePrice 1-2599,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,14421,0,15
1714026978325,14398,HTTP请求,200,,updatePrice 1-2496,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,14398,0,5
1714026977932,14791,HTTP请求,200,,updatePrice 1-1891,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,14791,0,281
1714026978050,14674,HTTP请求,200,,updatePrice 1-1196,text,true,,224,130,8574,8574,http://127.0.0.1:9999/changePrice,14674,0,658
1714026978306,14424,HTTP请求,200,,updatePrice 1-2766,text,true,,224,130,8580,8580,http://127.0.0.1:9999/changePrice,14424,0,1
1714026978064,14666,HTTP请求,200,,updatePrice 1-2121,text,true,,224,130,8580,8580,http://127.0.0.1:9999/changePrice,14666,0,7
1714026978282,14448,HTTP请求,200,,updatePrice 1-2578,text,true,,224,130,8581,8581,http://127.0.0.1:9999/changePrice,14448,0,27
1714026978670,14060,HTTP请求,200,,updatePrice 1-4534,text,true,,224,130,8582,8582,http://127.0.0.1:9999/changePrice,14060,0,39
1714026977923,14807,HTTP请求,200,,updatePrice 1-1837,text,true,,224,130,8582,8582,http://127.0.0.1:9999/changePrice,14807,0,186
1714026978280,14450,HTTP请求,200,,updatePrice 1-2598,text,true,,224,130,8583,8583,http://127.0.0.1:9999/changePrice,14450,0,47
1714026978469,14261,HTTP请求,200,,updatePrice 1-558,text,true,,224,130,8583,8583,http://127.0.0.1:9999/changePrice,14261,0,97
1714026978287,14444,HTTP请求,200,,updatePrice 1-2500,text,true,,224,130,8585,8585,http://127.0.0.1:9999/changePrice,14444,0,16
1714026977839,14891,HTTP请求,200,,updatePrice 1-265,text,true,,224,130,8585,8585,http://127.0.0.1:9999/changePrice,14891,0,369
1714026978118,14613,HTTP请求,200,,updatePrice 1-2147,text,true,,224,130,8586,8586,http://127.0.0.1:9999/changePrice,14613,0,91
